county fair	second place ribbon	in an empty stall
hazy dusk . . .	no one bothered to plow	the graveyard road
child's wake	the weight	of rain
gunshot the length of the lake
a stick caught	on the lip of the dam	winter's end
summer stars . . .	the old violin goes	to the highest bidder
winter drags on . . .	i squeeze the last drops	from a teabag
distant thunder	a titmouse gives one chirp	and falls silent
alzheimer's birthday	each slice of the cake	takes part of her name
march winds	a decade has passed	by your grave
indian summer	a spent salmon	washes ashore
after the funeral	whiskers still	in his razor
the page-finders	of my fathers daily missal	losing their colors
first buds of spring	i change the washers setting	to delicate
among the gravestones	with names worn away	children play hide n seek
whalebone	from a beach near savoonga	winter rain
all saints morning	a path	of trodden leaves
cremated	in her favorite kimono	small green plums
spring rain	the gravedigger latches the door	of his backhoe
spring rain the cat's pink nipples
loon calls	my daughter drawing circles	near the fire
summer evening	from across the meadow	a call to supper
shivering on the roof	i rub my palms together	meteor shower
ocean breeze	a strand of seaweed	steadies the kite
autumn rose	even as i sketch the wind	more petals fall
humid july	from the stove the smell	of old fires
the wind of autumn	a homeless man warms himself	hand to mouth
broken easel	the front yard blue	with wildflowers
heat waves	the hitchhiker shifts her child	to the other hip
land's end	sand in each bite	of my apple
indian summer	a fish slips through	the gill net
her 18th birthday	for the first time she notices	my silences
spring sunshine	the climbing ivy	filled with sparrows
meteor shower	a gentle wave	wets our sandals
mountain hike	we drink from the beginning	of a great river
spring sun	high in his arms	the newborn is shown
snail	to know	its heart beats too
lethal injection	unable to shut	the blind dog's eyes
end of summer	the shape of his feet	in his sneakers
geronimo's grave	someone has left	plastic flowers
new in town	the scent	of unknown flowers
foghorns . . .	we lower a kayak	into the sound
catalog time	the garden begins	without a seed
new butterfly . . .	folded wings	lean into the wind
morning overcast	a few seeds still dangle	from the dandelion
break up	i leave behind	her butterfly net
walking home barefoot,	we enter the shadow	of the hill
autumn evening . . .	a page of the old book	separates from the spine
funeral procession . . .	snowflakes blowing	into the headlights
autumn evening	my hospital window	becomes a mirror
storm clouds	the cry of a shearwater	circles the sky
late into the night	we talk of revelations	moon through the pines
the kettle whistles . . .	a blur of garden color	on the window
winter beach	a piece of driftwood	charred at one end
riveredge old growth:	a towering window	of stars
i'm caught in it too	the blossom-loosening wind
over the railroad tracks	the slow motion	of a snake
the beetle i righted	flies straight into	a cobweb
leaf in my palm	its stem extends	my lifeline
about the tree	over my small son's grave	tell me
musty smell	forgotten . . . deep	into the text
that venus!	leading the cupped moon	through every turn of the road
"grabs" and "opens"	the fist	sowing seeds
the river	coming to it with nothing	in my hands
deep silence	the orphaned nestlings	this third morning
summer solstice	the long tips of lavender	bent by bees
snowbound	coloring inside	the lines
the dumproad pond	tadpoles exit	a birdhouse
still sun-warmed . . .	the pulled-out scarecrow	in my arms
changing the swallowtail	changed by it	the spring wind
letting the branch go	a shower of petals falls	on the old woman
toll booth lit for christmas	from my hand to hers	warm change
winter seclusion	tending all day	the small fire
on the path	only one of us	touched by a falling leaf
winter, bedtime	static flickers	through a white sleeve
warm river	up to our necks	in sunset
beneath the ice	the waterfall	still falling
old garden chair	sagging with the weight	of a single leaf.
after the stroke. . .	watching only the half of your face	that smiles
city window	mountains and pines	etched in frost
autumn deepens	an empty snail shell	explored by an ant
early morning sun	scattered on the table	several grains of salt
snowflakes	no one will miss	melt in her hand
bright leaves	blow through	her dream house
scattering his ashes	the moon	in bits and pieces
on the river	of many names, one cloud	floating
learning too late	he didn't like bubinga wood	sun strikes the urn
the war memorial	migrating butterflies	cover the names
falling leaves	the house comes	out of the wood
leaving you	fog on either side	of the white heron
below zero	all curled up in the woodpile	the skin of a snake
deep winter.	the armload of firewood	chills the kitchen
mourning dove calls . . .	my elderly neighbor stills	the sound of her hoeing
august morning	a window washer wiping dust	from his sunglasses
snowmelt . . .	she enters	the earth on her knees
an old woolen sweater	taken yarn by yarn	from the snowbank
a white horse	drinks from the acequia	blossoming locust
sunlight shines red	through my father's thumb	on the steering wheel
two women crying	one giving birth	the other being born
approaching the family plot . . .	my furled umbrella	turns into a cane.
chernobyl victim	fingers pressing the plastic	to his wife's caress
cloud shadow	long enough to close	the poppies
the thick clang	of a cowbell	the sun deepens
roses	in the smaller room	more fragrant
ninety winters	spellbound	again
silent cathedral	stained-glass apostles	dimming with dusk
up the path	to touch that one oak	in last night's dream
dry leaves	the old archer	curves his eyebrow
soft rain	the new grave	looks old
morning sneeze	the guitar in the corner	resonates
dusk	a lone car going the same way	as the river
first days of summer . . .	already the leaves gather	beneath the sycamores
fall leaves the trees the winter sky
so many ways	within the waterfall	for water to fall
after the rain	on my vegetable patch	a new crop of stones
frozen in mud	by the vacant shanty:	lottery ticket
the potter's hands	gently shape the vase	out of himself
watermelon rind,	sitting in its own juice	the summer sun
figure drawing class	in the model's deepest shadows	a stark white string
ebb tide . . .	a little sea	in the shell
watching rain	pouring down . . . pouring down	just watching
abandoned store	large sign reading	we never close
a single strand	of spider silk	stops her
endlessly becoming,	clouds
mime	lifting	fog
taking time . . .	listening	to the grocery clerk
in the yukon	sleeping with one eye shut	the summer night
in soap bubbles	again and again	his face is broken
yard sale,	sunlight filling	mason jars
leaving home . . .	the smell of smoke	from old brick chimneys
frozen pond	white antlers rise	through the ice
june night	my mother alone with	her cancer
at dinner	biting into the roast beef . . .	the butcher's thumb nail
phoning the neighbors	their real voices	through the open window
repeating the lecture	his eyes following	the window-cleaner's blade
tools rusting	unused on the work bench	a faucet dripping
full moon		peering into	the half-built house
dusk	drawing the pond's depth	to the surface
old woman, wrapping	her cat's gifts	centering the bows
on the way to work	a hot air balloon	up in the mist
this heat;	the dog's tail	the only breeze
light	up under the gull's wing:	sunrise
second husband	painting the fence	the same green
such coolness	the snail stretches	its neck
the one legged bird	that deep bend before	taking off
bird song	lost	in bird song
walking in on her	dead eyes reflecting	snowfall
in the sea	the fireworks	rising
bird feeder untouched . . .		alone again
circling each thigh	cool	of the night river
small child	afraid to throw away	his church bulletin
in utter stillness	the incense	changes direction
early spring sun	the spinster combs out her hair	for nesting birds
canyon:	at the very edge	riversound
out of its slipper	her bare foot talking	under the table
burial prayers	grandson playing hide and seek	behind the stones
between the fireflies	the changing shape of darkness
my father's hammer	warm again	in my hand
under trees and sky	the baby studies	her hands
migrating geese	once there was so much	to say
sound of her voice	carrying eggs	across the ice
moving	with the clock tower's shadow	the flower lady
heart drawn in dust	by the old indian . . .	rain
whispered dusk	a fox picks its way	across the ice
mist	lifting	the loon's cry
snowman's eye	sinking in	the spring rain
autumn afternoon:	i stand on the shadow	of the sparrow
ten below zero:	man and boy walk through their breath	to read old tombstones
hot wind	the roadrunner's beak	opens and closes
blackbirds descend	through the floaters	in this eye
the old man	closes the shadow	in his hand
spring drizzle	rounding the thorn	a drop of light
horizon	wild swan drifting through	the woman's body
deserted wharf	the mime bows	to the moon
a spider's web	across the windharp	the silence
under the back steps	catfish still flop in the pail	the long august night
horns fold	at my shadow's touch;	brown slug
early april rain	that woman fills every jar,	seals them forever
dead mynah bird . . .	with each passing car	its wing flaps
picking cotton	the memory	of birdtracks in the snow
old tea bag;	tints the moon	slightly
blackened walnut	left unopened	winter solstice
distant woodchopper	inside the cabin	axbite echoes
the grey cranes at dusk	bending in a line along	the crooked fenceposts
checking for water	the woman finds a full moon	trapped in the cistern
old woman,	rain in the eye	of her needle
the path shorter now,	underfoot the crumbling leaves;	the child runs ahead
cry of the peacock widens the crack in the adobe wall
fields of snow	not only moonlight	but the moon
cold morning sea	an old man towels	himself in the sunlight
fields of corn stretching	as far as the eye can see	within a lost child
crossing the bright sky	of a near-sighted swimmer,	the song of a bird
and yet	perishable is flesh	a mountain plum
what thing cries out	deep inside us	cooking the turtle?
lights out	. . . the firefly	inside
the wind	somewhere else	bird tracks in a light snow
apples cooking:	in the aroma	pictures of my mother canning
dawn	another parting	with the moon
back and forth goldfish hot & humid afternoon
the child	points at the moon	and says, "bird"
one seagull	on a shaft of air;	dawn
lean man	carving	the tree's dream.
morning-glory folds into herself into her folds
from behind me	the shadow of the ticket-taker	comes down the aisle
walking to work		pages lap at your feet	the quick eye holds up the news to the day
part of a dog	walking by upside down	in the roadside puddle
where the ripple was	the fisherman casts his line;	another ripple
quiet strokes	of night swimmer: the slap	of beaver tails . . .
never expecting	the lilies in november	nor the small coffin
the room's smallness	fills with light	this morning of snow
the way of the conch	blueing in the sea, and	echoing in the wind
leaving all the morning glories closed
old frog	up to his ears	in moonlight
reaching into sky	the girl breaks the wish	bone of geese
in a dark bag	onions	sprouting
still lake	a hawk makes off	with its image
skiers!	standing	on the wind
night crossing	tijuana border guard	in sunglasses
small town	the same dream	as last night
half-empty cup	i decide ive had enough	of you
middle age	in the mirror	the turn toward it
wedding day	the time he takes	to knot the tie
stick figures	including one	i recognize
boy girl party	the slow speed	of the blender
life and death decisions	the need to feel	the satin lining
perfect storm the perfume not hers
phantom pain	the shape of her	in a stranger
death watch	she dies peacefully	in their sleep
rain gauge	the pastor talks	about grief
waiting room	a fly climbs the stairs	on an escher print
my third glass of wine	the mosquito	comes back for seconds
philosophy class	i talk myself	into a corner
old faithful	the crowd arrives	right on time
undressing the summer wind turns color
father's day--	a potato	without a face
stirring my coffee	every which way	flamenco
a watermelon smile drips off the end of my elbows
trick-or-treat	a sailboat's name	reflects in the sea
martin luther king day	i readjust	my rear-view mirror
my skeleton	going for a walk	in the cemetery
mother's day	she puts me	on hold
the stylist	rinses away	the sound of her voice
their first thanksgiving	posing together	with the turkey
graduation day	in the gait of our son	your younger strid
kona wind	an ocean between me	and my worries
new bride	the squeak of her	sweet corn being shucked
old timers' game	seventh inning stretch	the creaking of knees
street corner memorial	my four-year old	asks for the balloon
busy italian restaurant	happy birthday	sung to the wrong table
tokyo vending machine	the long line	behind the foreigner
old palm reader . . .	my life line	her longest yet
engagement ring	he decides	it looks real enough
parade march	the old vet with canes	refuses to ride
first day of school	her brother's backpack	with legs
inviting aromas . . .	the hostess asks	will it just be me
our pilot hopes	to see us again real soon	the intercom clicks
candlelight dinner	she fingers the rose	to see it it's real
stale cookie	i give away	the fortune
wrong date	the thickening skin	on her latte
a new boyfriend	the same lingerie	enticing again
feeling the shape	of the wrapped gift	i put on a polite face
first date	the little pile	of anchovies
mistaking telephone	for doorbell	i let loneliness in
arguing	a deaf man grabs	the other's hands
crossing the hopscotch	two old women	avoid the lines
dentist's obituary	common interests	we could never talk about
as if it were spring	the green mold	on the cheese
psychic fair	she brushes some dirt	from the cards
centerfold:	the model's navel	off-center
day moon	a fresh tattoo rises	out of her jeans
independence day	i struggle to free myself	from a wet swim suit
fresh blueberries	a 'gothic' teenager	darkens her lips
switchbacks	five or six cub scouts	an octave higher
my father and i	paint the barn	compare wars
picnic	in the sun-dappled courtyard	my freckled banana
in the dream	my dog has a whistle	only i can hear
rodeo cowboy	hopefully clutching	a handful of sky
two-way glass	the patient waits inside	the therapist's reflection
rush hour	the blonde in the porsche peels	an orange
scar on her cheek	she gets her lipstick	just right
grocery shopping	his python tattoo	squeezes the charmin
on display:	her small and firm	opinion of men
conservatory,	the carnivorous plants	behind glass
grinding sausage meat	she recounts the times	her husband cheated
aftershock	the picture on the wall	straightens
in the middle	of making love	counting syllables
nudist camp	where to begin	with the sunblock
clothesline	the shirt shows off	its biceps
open mike night	the audience	goes dead
getting acquainted	i learn another name	for wild radish
divorced	she cleans the ring	around the tub
after lovemaking	returning	to ourselves
nest of black hair	secured with ball-point pens	office geisha
naked at the ironing board	concentrating	on a crease
round and round	debating	circumcision
freezing wind	the body builder pumps gas	in a muscle shirt
werewolf movie	at the commercial	letting the dog out
winter rain	holding the umbrella	over the dachshundpissing
the clerks lip ring	i forget	what i wanted
in the midway sun	corn on the cob customers	grinning ear to ear
school library	such quiet	books
at the fence	they sit on their tractors	talking hay
three surgeons	five nurses	wrong leg
full moon	i iron a wrinkle	into his pants
valentines day	she reminds me	to fasten my seatbelt
before the guests arrive	i straighten	the straight cushions
a lull in her hands	the hairstylist asks	how i part my hair
in one room	everything she has	and a window
floating	in the dishwater	a pair of chopsticks
serious	she takes off her sunglasses	to speak english
nude beach	an empty bikini	turns me on
dropping valentine chocolates	he quickly swaps them	for another box
leaning back	in their chairs	old friends reunited
saving her best dishes	for a better day	my eighty year old mother
fireflies	my neighbor	has more
blowing out	one birthday candle:	the whole family
just married	the attendant	pumping too much gas
family reunion	everywhere i look	my old nose
identical twins	their hair neatly parted	on opposite sides
at the flea market	looking through books	i gave away
nightfall	the zookeeper	lets himself out
tourist town	postcards of the waterfall	racked upside down
carrying their canes	two old women lean	on each other
first date	in the parking lot	our car doors touch
parents coaxing	baby to eat	mouths wide open
handsome vendor	my name	on a grain of rice
driving lesson done	father and daughter run	fingers through their hair
naked	on the bathroom scales	stomach held in
reconciliation	the candle between us	sputters
his ashes scattered	what to do	with the box
nude beach	his enormous	sand castle
letting the dog out	letting the dog in	wrong dog
a gusting breeze	the comet wobbles	in my binoculars
long walk home	kicking a stone	for company
christmas day	the exchange	of custody
honeymoon trip	he refuses to stop	for directions
clicking off the late movie . . .	the couch cushion	reinflates
opening night . . .	missing the entrance	of the night blooming cereus
forgetting his underwear	the one with so many	frequent flier miles
summer concert	fanning myself faster	during the scherzo
overmatched boxer	his eyes closed	before the fight
yard sale:	she takes the baby crib	back into the house
his toe	answers mine	a truce begin
making sure	nothing grows	the rock gardener
too quick to reply	cutting my tongue	on the envelope
grandfathers funeral	cousin kate, air kissing,	spies a mirror, checks her makeup.
in a semi circle	retired sisters watch	wheel of fortune
dissatisfied	with her virgo horoscope	she tries pisces
first time	at the zoo my son	watches the people
antiquities room	the curator asks	so whats new?
meeting her boyfriend	our handshake	out of synch
from the holy land	he sends a postcard of cracks	two thousand hears old
polaroid of her lover	coming clearer	with time
visitors day	buttons just right	her dress inside out
blueberries	we show each other	our tongues
battered child	. . . kicking the swing	higher
a pause in the lecture	all at once three students	cross their legs
cropped grass	r2 =	the tethered goat
whacking the bat	with a broom, she says	they attack people
clear about	everything	the window washer
dining out	next to the window	her coat
late spring blossoms	the silhouette artist facing	another ponytail
balloon man	selling pins	for popping
on the same bus	the same strangers	as yesterday
new neighbor	eyeing the worn path	between our houses
a man swept by	in a wave rising, falling	sees us see him drown
fingering my tattoo	granddaughter asks	when she can have numbers
the words unspoken . . .	waiting for the toast	to pop up
drilling deeper	my dentist talks me into	amnesty international
methodical husband:	on his list of chores, she finds	her name
running down	fight illiteracy	the gangs red paint
drunken sailor	loses both shoes	tying one on
eating alone	my alphabet soup	speaks to me
lunch	with her lovers wife	leftovers
hole in the ozone	my bald spot . . .	sunburned
after kindling	his passion . . .	she lights his cigarette
nurses station	above the heart monitors	a soap opera
how desirable	in the thrift shop window	my old mag johng set
hopscotch	a one legged man	raises cane
young lawyer	his briefs	in the snow
in his mothers house	he walks into the cobweb	she underlooked
feel the warmth of	bashos frogpond	just xeroxed
behind shadow proof blinds	the calligraphers	word processor
spring rain	milk in her left breast	unexpectedly sweeter
spring evening	the children's promise	not to get cold
jackknifed rig	the trooper waves us	into wildflowers
the numbness	of scar tissue	forsythia
autumn wind	in his sweater pocket	the missing button
squash vines	long and hollow	the last late evenings
dim light	the night nurse	describes the rain
late summer	black men spreading tar	on the side road
knowing your cough	but not your face	invalid neighbor
spring plowing	a flock of blackbirds	turns inside out
squash vines	long and hollow	the last late evenings
dusk	up to my ears	in birdsong
all around	light falling in a field	of fireflies
independence day	i let him touch	a little bit of me
snake hunting the boy sheds his shirt
whistling	he	hangs	the	birdhouse	he	built
summer evening	fanning myself	with a paper moon
close lightning	the metallic taste	in my mouth
garden work	talking to each other	back to back
dry heat	to the same withered flower	a bee returns
starry night	biting into a melon	full of seeds
i brush	my mothers hair	the sparks
snowflakes glued	to the kindergarten window	no two alike
undefended:	in the cold rain	their snow fort
faint city stars 	the moths copper dust	in my palm
fathers funeral	mother	suddenly small
porch swing	now and then a breeze	from the river
january thaw	the narrow path	fading away
spring planting	her refusal	to compromise
logging road	the pileated woodpecker	flings its cry ahead
ill again	a dry leaf	across porch boards
leaving the park	glimpses of cherry petals	on the soles of shoes
lily pond	with one step the snowy egret	moves the moon
the white v of a killdeers wings	opening in the wake	of its cry
snow	softening	the night
a pile of rocks	shifting in spring rain	the stiff old man
getting louder	the calf	the auctioneer
bird shadow	from tree shadow	to fence shadow
i climb the mountain with my eyes never ending snow
the petals scatter	over graves swept	and unswept
a single leaf falling	and with it	the morning dew
mountain rose	from thorn to thorn	a spiders line
coming out of the woods	the sound of crickets,	the empty sky
an old woman with bread	waves the geese down	from the sky.
over the earths edge	they all gothe white clouds	and the one sailboat
long beards longer	black clothes darker	under july sun
amish gentleman's	warm smile brief . . .	my skirt long and plain
an amish grin	as he cycles past	the station selling gas
the gloom within	a handcrafts store . . .	dolls with missing faces
facing mirrors	long-skirted woman	and her amish child
music on the wind	an amish foot softly taps	and abruptly stops
late night camp . . .	now a gentle lullaby	horse hooves heading home
falling leaves	day by day	the house grows brighter
darkening path	the white morning glories	lead the way
in a backyard	two women folding sunlight	into sheets
late autumn	the billboard's shadow leans	into the woods
from the stream	two mallards fly straight up	through falling leaves
new year's eve blizzard	a neon beer-sign glows	behind the steamed window
spring breeze	the woods road is still wet	under the pines
the old watering can	hangs one more rainbow	among the roses
the evening paper	on the darkening lawn	first star
a letter stuck	in the 11th floor mail chute	summer night
the blues singer	tells how bad it is	then the sax tells you too
quiet afternoon	in the meadow, one daisy	leans on another
at the end of a tunnel in the clouds	a sunlit billow
crossing the tracks	at twilight	the autumn wind
chilly sunrise	a strip of bark flutters	on the lake-side birch
twiddling my thumbs	the sun goes down,	the moon comes up
winter drizzle	unloading a crate of live ducks	behind the chinatown restaurant
snow melts by the hardware counter	the squares of color	in the paint catalog
in the mirrors on her dress	little pieces of my	self
a few blocks	from the street festival	the evening quiet
at the pow-wow	they pass out ordinary saltines	for the ceremony
while his passengers sleep,	the bus driver watches dawn	break
by the lawn's edge,	the dog barks at the darkness	then looks back at me
dead end	a few leaves circle	in the headlights
late at night	a woman alone in the restaurant	addressing christmas cards
snowy morning	the barber appears	in his mirrors
moonrise	the columbine still	swinging
changing pitchers	the base-runner looks up	at a passing cloud
in the subway	the young conductor cues	imaginary oboes
climbing the stairs	more slowly	autumn evening
the frozen puddle	kids slide over a pattern	of red leaves
snow drifts	above the bear's den	starry night
cold spring rain	a piece of grass sticks out of the birdhouse
up in the sky	hardly heard, hardly seen:	migrating birds
sundawn	a flutter of mourning doves,	& poised, light-bathed, one faun	nearby, a bell tolls changes
mapletree buds,	their small shadows	in water-glazed mud	nearby, a bell tolls changes
white lilac	fragrantly exuberant	beside the porchdeck	nearby, a bell tolls changes
putting down a book	to listen to the god	in the half-cleared brook	nearby, a bell tolls changes
high noon	straight-up trunks of poplars shadowless	a foreshadowing ... soon, soon?	nearby, a bell tolls changes
watching a program	on brazils rain forests,	anger poisons calm	nearby, a bell tolls changes
on the grass	two pitched-from-a-car beer cans.	unthinking ass!	nearby, a bell tolls changes
a cardinal's song	blends with the brilliant sunset.	surely, nothing's wrong?	nearby, a bell tolls changes
cicadas at dusk	seventeen years hence, shall we see	substance or husk?	nearby, a bell tolls changes
in moonlight	swish of owl wings, this heartstab:	glitter can gloss blight	nearby, a bell tolls changes
first spring day	melting and melting and melting	tracks of the mountain man.
night storm 	a deeper dark unrolls	across the prairie
removing her wedding ring	she brushes t along	her husband's name
woman touches a name	while looking at	an old photo
elderly couple	their faces reflected	over their son's name
man in a filthy army jacket	tries to scratch on	his name
anzio beach 	another wave gathers	and breaks
how many dew drops make up these walls?
on razor wire	squats a crow	winter night
the guards in their towers:	silk worms in cocoons of light
black-uniformed winter fly	greeting me	behind bullet-proof glass
walls of ice	deep in forests	frozen frogponds
my silver shackles	gossamer threads	under these stars
old guard escorting me	coughing like bullfrog	cigarette smoke for breath
prison cat in shadows	stalking the shaft of searchlight
capturing snowflake fireflies with my tongue
beating time with nightstick,	cricket sound	while i urinate
oh, winter moon,	what have you done now	keep-locked with the mountains?
a thousand temple bells	the noise of the cell block
suddenly they all look like green bullfrogs!
decorating my cell again	i notice roommate	a silverfish on my pillow
from out of hendersons haiku,	my old wifes photograph:	cells doors automatically locking.
soothing rain:	the mown meadow releases	pungence of mint
butterfly shadows 	not finding	the butterfly
abandoned farmhouse:	bird nest in the mail box	also deserted
abandoned farmhouse:	wallpaper peeling back to	my childhood
abandoned farmhouse:	something scratching	inside the furnace
abandoned farmhouse:	the quiet bedroom where i	feared the dark
abandoned farmhouse: a	yellowed grocery list taped	to the counter top
abandoned farmhouse: a	moth flies out of the water	faucet
abandoned farmhouse:	my daughter	snaps pictures of our visit
into old pots and pans	thrown out in the backyard	the musical rain
here & there	in bare treetops	mistletoe
in a shabby motel	all night	treefrogs in rain
cottonmouths	in the swamp ...	a house on stilts
**
family get-together	all the eyes all the feelers	all the hands tearing shrimp
morning in the french quarter	caf au lait &	beignets with sparrows
the river wind blows	into the quarter	& through his saxophone
on the riverfront	a stranger	takes my smile
the breeze	off the mississippi	fills my skirt
behind grillwork	down darkness to sun	in a hidden courtyard
cool the alley	through the grillwork swirls	cat pee smell
in the morning shops	half the doorways	fill with shade
all the mardi gras colors	in the masks	in the houses
on the iron lace balconies	only flowers	sunning
from the suite dusk	fills in the river	& all the tiny lights are slow
**
huge limbs of the live oak	their reaching out	over the young grass
in a pecan grove	wandering spring shadows	cows & blackbirds
parked on the runway	its wings drooped a b-52	the winter sun
the slow day ...	in the empty motel corridor	a stack of dirty dishes
sundown in the empty bar	the player-piano keys	begin
the big waitress departs	the china teapot	shakes
january sun ...	the cotton fields	dotted with leftovers
longest night	his forehead burning	into my hand
what passion	you had, akiko	where can i put	even an inch	of tonight's anguish!
sucking	chocolate squares	oh, it's a lonely beginning	this first night of return	to japan
under this basholess	pre-dawn sky	how rough	the angle of loneliness	along this eastern sea
bent	like a puzzle	in a child's hand,	that back before me	in the pre-dawn dark
is it a walking	umbrella?	immense the black	over that bent-against-the-wind	angle of loneliness
a crane	skipping before me	on this seaside road,	its leg	a karate lift?
i hug	the boy to me	how brave he was to point and say	this is a pencil	this is a cup
on my office couch	i lean back,	back,	this nescafe's	the length of my desire
in this bare	late-afternoon life	i make	my bare dinner	and set out fork and knife
wanting	to embrace	even a sleeve	tonight's	lonely angle
gone from the wood	the bird i knew	by song alone
on lookout rock	one step	to the red hawk
i	a red shaft of light	dances on your moist eyelids:	the searing morning.
ii	frog mountain rises	to arch its back in the clouds:	unforeseen downpour.
iii	three men and three birds	stand still in the forest, all	surprised by rain.
iv	rain like the deluge:	a mudspattered apache	sings in cibecue.
v	the day hides itself	within a grove of aspen.	thunder pursues it.
vi	uprooted clouds:	summer holds the pale mountains,	calls down the clear night.
cajun cabin 	the aroma of hot gumbo	floats on the bayou
gunshot!	the tide of gulls breaks	like a scattering wave
gathering silence	in my mind is	the hardest thing to do
against the wind's chill	i button my sweater	feet dug in sand
the sun slips low	a carnelian red paving	the water with dark light
how many wanderers	have followed the sun	down?
(the girl with the soul	of a gull	never came back)
questions	purl like schools of fish	in dangerous waters
questions	without breath without answers	a broken shell
on the cardboard box	holding the frozen wino:	fragile: do not crush
from the fire escape	the cry of the mourning dove	wintering over
new condominium	its exhaust grate claimed by	a new derelict
wind chill minus five	the piercing whistles	of the starlings
the young mother	stoops to warm the child's mittens	between her gloves
between lace curtains	the white cat's eyes	follow a snowflake
a crow flies down	to land in the new snow	its voice ringing
madison avenue	a row of ginkgoes mulched	with old xmas trees
suet on a string	suspended from a snowy branch	three sparrows make it spin
in the shadow of	office buildings, bagpiper's	amazing grace
last nights fading dream 	on the blue teapot birds drift	beyond the willows
under cloudless skies;	nuclear resister jailed	missiles free to fly
april sun slanting	across the exercise yard	jail-bar shadows
basketball stops	in the exercise yard	convicts shoot the breeze
this heat!	snow-clad mountains framed	by my jail cell window
little ladybug	caught after visiting hours:	doing jail time, too
starting a new month	in snohomish county jail;	same old tea bag
chilly june morning	in a spider web	the jailhouse fly hangs
sixty day jail term	as it grows shorter	my growing beard
a swallowtail	settles	on the prize-winning quilt
summer afternoon	the priest takes a blue pencil	from the blind man
coming up through	a gap in the city bridge. .	a checkerspot butterfly
backfire	a checkerspot in its sound	shifts direction
dog coming out	with the cathedral crowd. .	tail upward
half way home	pole shadows reach across	the widening road
train whistle	two jets wrap the sky	with mist
a block from home	a pair of rain drops find	my haiku notes
snow geese	sarah discovers	the letter v
suddenly	twenty years later	you taste the same
through two marriages	framed behind beethoven	your picture
talking with him	i taste you	in the tea you serve
on your porch	only the breeze	moves between us
in the dark car	the scent of you	and the rainy fields
juice from the apple	runs into my beard	as i wait for you
in the mirror	the only picture	of us together
your perfume	looking up startled	at a stranger
in the cold fireplace	my last letter	burning
still in the taste	of afternoon tea,	my grandmothers brogue
a horse-drawn plow:	sunflowers stand	in the traces
eaves	pulling sound	from the wind
walking alone	the way oak leaves	refuse to fall
a steady rain	the dentists drill	turning to snow
top of the falls	your voice somewhere	in its sound
the worm	far out on this paved lot	more rain
autumn dusk the crooked road home
winter morning	the closet dark with	old shoes
the family gathered	a tear of embalming fluid runs	from my brothers eye
a moth flies	through my breath	in moonlight
bitter wind 	the hand that cups the flame	aglow
the sound of scissors	through quilt stuffing:	chill autumn moon
autumn maple	a gust of yellow scatters	the childs laughter
autumn sky	the wind folds and unfolds	a flock of sparrows
moving into the sun	the pony takes with him	some mountain shadow
paddling slowly	through the reeds	that touch her hair
the old woman	looking into the stars	sky all snowy
